,Numéro de formulaire,Genre,Age,Taille,Poids,IMC,Activité physique,Régime particulier,Végé,Fréquence CROUS,Equilibre alim,Seule ou en groupe,Nb groupe entrée,Proximité,Connaissance,Parti groupe,Influ sociale,Percept senso,Nb file,Faim,Stress,Nb convives,Ami 1,Ami 2,Ami 3,Ami 4,Ami 5,Ami 6,Ami 7,Ami 8,Ami 9,Ami 10,Ami 11,Ami 12,Ami 13,Ami 14,Ami 15,Ami 16,Ami 17,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur
75,A31,1.0,,,,,,0.0,,,1,,,,1.0,,2,1.0,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,,,,,12:43:03 PM
76,A29,0.0,,,,,,,,2.0,3,,,,0.0,,1,0.0,,2,,,A38,A39,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,pommedeterre,poeleemeridionale,pecheausirop,,,12:43:29 PM
77,A28,1.0,,,,,,0.0,,2.0,1,,,,0.0,,1,2.0,,1,,,A26,A27,A31,A30,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,,,yaourt,,,12:43:52 PM
78,A27,1.0,,,,,,1.0,,1.0,2,,,,1.0,,2,2.0,,2,,,A26,A31,A28,A30,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,,,tartechocolat,,,12:44:20 PM
79,A60,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,0.0,,3,,,A61,A62,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,,,fruit,,,12:44:43 PM
80,A30,1.0,,,,,,0.0,,1.0,3,,,,1.0,,1,3.0,,3,,,A31,A27,A28,A26,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,,,yaourt,,,12:44:57 PM
81,A26,1.0,,,,,,0.0,,2.0,0,,,,1.0,,2,1.0,,3,,,A30,A25,A31,A24,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,tartesaumon,poeleemeridionale,,tartechocolat,,,12:45:08 PM
82,A51,1.0,,,,,,0.0,,0.0,2,,,,0.0,,1,2.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,burger,frites,,yaourt,,,12:45:16 PM
83,A48,1.0,,,,,,0.0,,1.0,3,,,,1.0,,1,3.0,,2,,,A47,A46,A49,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,,,,12:45:22 PM
84,A47,1.0,,,,,,0.0,,1.0,3,,,,1.0,,1,2.0,,2,,,A48,A50,A49,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,,,,12:45:45 PM
85,A23,0.0,,,,,,0.0,,0.0,3,,,,1.0,,1,3.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,grillades,,,,,,12:48:52 PM
86,A22,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,2.0,,0,,,A17,A18,A19,A20,A21,A13,A14,A15,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,yaourt,,,12:49:10 PM
87,A19,1.0,,,,,,0.0,,2.0,2,,,,1.0,,1,1.0,,1,,,A22,A17,A21,A15,A18,A14,A16,A20,A13,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,yaourt,,,12:49:36 PM
88,A17,1.0,,,,,,0.0,,2.0,0,,,,1.0,,1,2.0,,2,,,A22,A21,A19,A18,A14,A15,A16,A20,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,yaourt,,,12:49:45 PM
89,A21,1.0,,,,,,0.0,,2.0,0,,,,1.0,,1,3.0,,2,,,A14,A22,A19,A18,A15,A17,A20,A16,,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,poeleemeridionale,yaourt,yaourt,yaourt,12:50:24 PM
90,A18,1.0,,,,,,0.0,,2.0,1,,,,1.0,,1,2.0,,3,,,A13,A14,A15,A16,A17,A19,A20,A21,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,pommedeterre,,tartechocolat,,,12:50:48 PM
91,A20,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,3.0,,1,,,A13,A14,A15,A16,A17,A18,A19,A21,A22,nan,nan,nan,nan,nan,nan,nan,nan,,,,escalopedeporc,pommedeterre,,,,,12:50:52 PM
92,A15,1.0,,,,,,0.0,,2.0,1,,,,1.0,,2,2.0,,1,,,A14,A16,A21,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,,,yaourt,,,12:51:05 PM
93,A12,1.0,,,,,,0.0,,0.0,1,,,,0.0,,2,1.0,,2,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,gnocchispestovege,,,fruit,,,12:51:23 PM
