Unnamed: 0,Numéro de formulaire,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur,Genre,Régime,Fréquentation,Faim,Connaissance entourage,Influence entourage,Influence aspect,Quantité,Equilibre,Aspect,Attente,Convives,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
101,B57,saucisson,,,chipo,semoule,,crèmedessert,,,,,,,,,,,,,,,,,,,,,,
102,B54,,,,chipo,semoule,,fruit,,,13:02,NB,oui,>3,10.0,non,non,non,10.0,7,6.0,0.0,B51,B52,B53,,,,,
103,B59,sardines,,,chipo,semoule,,emmental,,,,,,,,,,,,,,,,,,,,,,
104,B31,,,,burger,frites,,,,,13:00,Homme,non,1à3,5.0,non,non,oui,7.0,8,8.0,4.0,,,,,,,,
105,B67,saladeriz,,,,,,,,,12:54,Homme,non,>3,7.0,non,non,oui,7.0,6,5.0,10.0,B68,,,,,,,
106,B69,saucisson,,,chipo,semoule,,emmental,,,,,,,,,,,,,,,,,,,,,,
107,B75,saladeriz,,,,,,,,,13:04,Homme,,>3,7.0,oui,oui,oui,8.0,6,8.0,8.0,B73,B74,B76,,,,,
108,B74,endives,,,,,,,,,13:04,Homme,oui,>3,8.0,oui,non,oui,8.0,10,3.0,6.0,B73,B76,,,,,,
109,B80,saucisson,,,chipo,semoule,,moussechocolat,,,13:11,Homme,non,1à3,8.0,oui,non,oui,3.0,8,6.0,7.0,,,,,,,,
110,B76,saladeriz,,,lasagnesvg,,,fruit,,,13:04,Femme,oui,1à3,6.0,oui,non,oui,3.0,6,6.0,1.0,B73,B74,B75,,,,,
111,B79,carottes,,,lasagnesvg,,,fruit,,,,,,,,,,,,,,,,,,,,,,
112,B78,,,,cabillaud,semoule,,fruit,,,13:02,Homme,oui,>3,7.0,non,non,non,6.0,8,7.0,7.0,,,,,,,,
