"...1","Horodateur","Numéro de formulaire","boeufbourguignon","faux-filet","feuilletésaumonoseille","hamburger","kebab","pizzamerguezpoivrons","pizzaraclette","risottocourgettes","torsades","escalopeviennoise","frites","poeléebrocolis","ratatouille","artichauts","carottesrâpées","champignons","chouxblancàlajaponaise","coeursdepalmiers","oeufmimosa","pasdentrée","saladelentilles","saladepates","salami","tomates","banane","faissellenature","flancchocolat","fromageblancfruitsrouges","mimolette","œufàlaneige","orange","pasdedessert","pommegolden","yaourtauxfruits","yaourtnaturesucré","kiwi"
118,"13:14:25","4T9L",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
119,"13:14:51","5W4J",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,"13:15:23","1P5N",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,"13:15:46","6Z9V",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
122,"13:16:11","2G3P",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,"13:16:22","1Y1C",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
124,"13:16:47","0R7V",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
125,"13:16:57","7P8D",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
126,"13:17:12","1T9W",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
127,"13:17:30","1W6X",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,"13:17:39","5O0Y",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
129,"13:18:29","3R5P",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
130,"13:18:57","8K4B",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
