coeff_autre_moyenne,coeff_autre_sociale_et,coeff_amis_moyenne,coeff_amis_et,influence_sociale_moyenne,influence_sociale_et,influence_env_moyenne,influence_env_et,delta_moyenne,delat_et,choix_personnel_moyenne,choix_personnel_et,proba_depassement1point,proba_manque1point,proba_depassement2points,force_perception_plat,proba_autre_entree,proba_autre_dessert,proba_encore,temps_entre_groupes,seuil_influence_etudiant_queue,Charcuterie_correction,Crudites_correction,Entree_poisson_correction,Salade_feculents_correction,Viande___correction,Pizza_correction,Accompagnement___correction,Accompagnement_correction,Viande_correction,Poisson_correction,Vege_correction,Fruit_correction,Produit_laitier_correction,Creme_dessert_correction,Fruits_gourmands_correction,Dessert_gourmand_correction,Fromage_correction,fitness
0.3,0.9,0.9,0.7,0.8,0.7,0.5,1.0,0.2,0.6,0.2,0.7,0.1,0.6,0.4,2.4,0.5,0.3,0.7,13.0,6,-0.3,-0.5,0.25,-0.05,0.65,0.05,-1.0,0.25,0.6,0.0,-0.15,-0.65,-0.75,0.75,0.4,0.85,-0.05,262.0
0.4,1.0,0.1,0.6,0.5,0.4,0.8,0.9,0.0,0.1,0.6,1.0,0.8,0.8,0.3,1.4,0.6,1.0,0.7,35.0,8,-0.6,0.6,0.75,0.05,0.45,-0.6,0.6,0.6,0.8,-0.7,0.2,0.85,1.0,-0.95,-0.35,0.6,0.8,297.0
1.0,0.8,0.4,0.6,0.1,0.3,0.3,0.7,0.5,0.7,0.9,0.4,0.6,0.3,0.5,2.1,0.5,0.4,0.4,17.0,10,0.35,-0.7,0.5,0.95,0.9,-0.35,-0.6,-0.2,-0.45,-0.05,0.85,-0.85,0.75,0.8,0.55,-0.85,0.45,379.0
1.0,0.8,0.1,0.4,0.1,0.7,0.2,0.4,0.3,0.0,0.5,0.7,0.6,0.2,0.6,2.2,0.4,0.2,1.0,40.0,3,0.9,-0.15,0.85,-0.25,-0.25,0.7,-0.65,1.0,0.0,0.15,0.1,-0.45,-0.65,0.4,0.4,-0.75,-0.9,397.0
0.5,0.4,0.2,0.5,0.9,0.9,0.6,0.4,0.7,0.8,0.9,0.8,0.7,0.0,0.2,1.5,0.0,0.4,0.8,59.0,9,0.55,-0.1,-0.85,0.7,-0.9,-0.6,0.65,-0.9,0.25,-0.3,-0.3,0.85,-0.15,-0.5,-0.85,0.3,0.6,209.0
1.0,0.4,0.4,0.2,0.8,0.2,1.0,0.6,0.1,0.3,0.9,0.7,0.6,0.5,0.6,2.3,0.9,0.6,0.1,56.0,6,0.8,-0.3,-0.05,0.25,-0.25,0.0,-0.95,-0.8,0.5,0.7,-0.7,0.8,-0.4,0.2,-0.15,0.1,0.25,304.0
0.7,0.5,0.9,0.4,0.6,0.0,0.9,0.9,0.2,0.5,0.5,0.6,0.9,0.8,0.5,0.1,0.8,0.4,0.8,31.0,3,0.7,0.85,-0.4,-0.05,-0.3,-0.6,0.4,-0.05,0.7,0.75,0.8,0.45,0.8,0.05,-0.1,0.4,-0.8,310.0
0.3,0.1,0.5,0.9,0.4,0.5,0.8,0.2,0.7,0.8,0.9,0.9,0.7,0.0,0.1,0.4,0.2,0.0,0.3,50.0,3,-0.65,-0.4,0.7,0.35,0.9,-0.25,-0.95,0.9,0.0,-0.9,0.05,-0.95,-0.7,-0.95,0.95,0.0,0.8,285.0
0.7,0.6,0.1,0.3,0.8,0.4,0.3,0.6,0.0,0.2,0.6,0.2,0.5,0.8,0.9,1.7,0.7,0.1,0.4,33.0,5,-0.65,0.35,0.4,0.9,0.25,0.25,-0.75,-0.85,-0.1,0.7,-0.2,0.15,0.55,0.8,0.7,0.6,-0.5,365.0
1.0,0.4,0.2,0.6,0.2,0.1,1.0,0.6,0.9,0.6,0.9,0.6,0.0,0.2,0.8,2.4,0.8,0.2,0.3,52.0,10,-0.55,0.0,-0.65,-0.95,-0.85,0.4,-0.55,-0.05,-0.05,0.2,-0.35,-0.75,0.4,0.3,-0.35,0.55,-0.55,308.0
